APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,APMC/Commodity,deseasonalise_price,seasonality_type
Akhadabalapur,Soybean,2016,February,588,3400,3576,3488,01-02-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3181.147569,Additive
Akhadabalapur,Soybean,2015,January,1038,3055,3236,3159,01-01-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3256.085069,Additive
Akhadabalapur,Soybean,2016,January,350,3367,3533,3452,01-01-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3275.043403,Additive
Akhadabalapur,Soybean,2015,July,288,3286,3429,3357,01-07-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3297.751736,Additive
Akhadabalapur,Soybean,2016,July,307,3588,3694,3641,01-07-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3320.918403,Additive
Akhadabalapur,Soybean,2015,June,407,3270,3480,3375,01-06-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3343.668403,Additive
Akhadabalapur,Soybean,2016,June,118,3600,3733,3667,01-06-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3369.960069,Additive
Akhadabalapur,Soybean,2015,March,685,3144,3300,3222,01-03-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3393.335069,Additive
Akhadabalapur,Soybean,2016,March,940,3410,3600,3505,01-03-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3414.376736,Additive
Akhadabalapur,Soybean,2015,May,26,3400,3500,3450,01-05-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3438.376736,Additive
Akhadabalapur,Soybean,2016,May,481,3600,3713,3663,01-05-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3463.376736,Additive
Akhadabalapur,Soybean,2014,November,1932,3065,3255,3160,01-11-2014,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3502.960069,Additive
Akhadabalapur,Soybean,2015,November,3010,3257,3477,3363,01-11-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3529.147569,Additive
Akhadabalapur,Soybean,2014,October,1511,2671,2936,2811,01-10-2014,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3469.085069,Additive
Akhadabalapur,Soybean,2015,October,5196,3281,3498,3392,01-10-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3567.043403,Additive
Akhadabalapur,Soybean,2016,October,3714,2779,2876,2830,01-10-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3581.751736,Additive
Akhadabalapur,Soybean,2014,September,311,3627,3755,3677,01-09-2014,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3636.918403,Additive
Akhadabalapur,Soybean,2015,September,223,2880,3020,2950,01-09-2015,Hingoli,Maharashtra,"Akhadabalapur,Soybean",3748.668403,Additive
Akhadabalapur,Soybean,2016,September,196,3280,3430,3355,01-09-2016,Hingoli,Maharashtra,"Akhadabalapur,Soybean",2807.960069,Additive
Akluj,Bitter Gourd,2015,April,72,1768,2563,2224,01-04-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",3222.400497,multiplicative
Akluj,Bitter Gourd,2016,April,41,1667,3211,3211,01-04-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",1625.692145,multiplicative
