APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Shrirampur,BAJRI,2016,1176,1516,340,28.91156462585034
Pathari,WHEAT(HUSKED),2016,1976,2312,336,17.004048582995953
Pune,WHEAT(HUSKED),2016,2497,2832,335,13.41609931918302
Jalgaon Jamod-Aasalgaon,WHEAT(HUSKED),2016,1500,1833,333,22.2
Lasalgaon-Niphad,WHEAT(HUSKED),2016,1842,2173,331,17.969598262757874
Jamner-Neri,COTTON,2016,4461,4789,328,7.3526115220802515
Morshi,PIGEON PEA (TUR),2016,5311,5638,327,6.15703257390322
Beed,WHEAT(HUSKED),2016,2103,2429,326,15.501664289110794
Jamner,COTTON,2016,4481,4807,326,7.275161794242357
Mantha,WHEAT(HUSKED),2016,1888,2213,325,17.213983050847457
Manora,PIGEON PEA (TUR),2016,5484,5809,325,5.9263311451495255
Sindi (Selu),WHEAT(HUSKED),2016,1461,1785,324,22.17659137577002
Vaijapur,BAJRI,2016,1406,1730,324,23.044096728307256
Amarawati,WHEAT(HUSKED),2016,1843,2159,316,17.145957677699403
Lonar,PIGEON PEA (TUR),2016,5317,5633,316,5.943201053225503
Barshi,WHEAT(HUSKED),2016,1901,2217,316,16.622830089426618
Nagpur,PADDY-UNHUSKED,2016,1508,1822,314,20.822281167108752
Umarga,MAIZE,2016,945,1258,313,33.12169312169312
Jalgaon,SORGUM(JAWAR),2016,1692,2005,313,18.498817966903072
Pusad,WHEAT(HUSKED),2016,1863,2176,313,16.800858829844337
Kalvan,MAIZE,2016,994,1306,312,31.388329979879277
Nampur,BAJRI,2016,1270,1582,312,24.566929133858267
Gangapur,WHEAT(HUSKED),2016,1778,2089,311,17.49156355455568
Nandurbar,MAIZE,2016,1228,1539,311,25.3257328990228
Shahada,WHEAT(HUSKED),2016,1738,2047,309,17.779056386651323
Karanja,WHEAT(HUSKED),2016,1781,2089,308,17.29365524985963
Vani,COTTON,2016,4620,4927,307,6.645021645021645
Loha,SORGUM(JAWAR),2016,1151,1456,305,26.498696785403997
Shirpur,SORGUM(JAWAR),2016,1468,1773,305,20.77656675749319
Kej,SORGUM(JAWAR),2016,1774,2079,305,17.192784667418263
Shahada,MAIZE,2016,1071,1373,302,28.197945845004668
Shirala,SORGUM(JAWAR),2016,1700,2000,300,17.647058823529413
Malkapur,COTTON,2016,4700,5000,300,6.382978723404255
Manora,WHEAT(HUSKED),2016,1500,1800,300,20.0
Balapur,SORGUM(JAWAR),2016,1275,1575,300,23.529411764705884
Darwha,COTTON,2016,4500,4800,300,6.666666666666667
Mahagaon,COTTON,2016,4665,4964,299,6.409431939978564
Devala,BAJRI,2016,1366,1665,299,21.888726207906295
Wardha,PIGEON PEA (TUR),2016,5114,5412,298,5.8271411810715685
Amarawati,BAJRI,2016,1821,2118,297,16.30971993410214
Nagpur,RICE(PADDY-HUS),2016,2667,2964,297,11.136107986501687
Nandura,SORGUM(JAWAR),2016,1147,1440,293,25.544899738448127
Chalisgaon,MAIZE,2016,941,1233,292,31.030818278427205
Kalvan,BAJRI,2016,1359,1650,291,21.41280353200883
Malkapur,WHEAT(HUSKED),2016,1834,2125,291,15.866957470010906
Barshi Takli,COTTON,2016,4605,4896,291,6.319218241042345
Parli-Vaijnath,SORGUM(JAWAR),2016,1427,1716,289,20.25227750525578
Lasalgaon-Vinchur,BAJRI,2016,1224,1513,289,23.61111111111111
Pune,BAJRI,2016,2126,2415,289,13.59360301034807
Nampur,WHEAT(HUSKED),2016,1500,1789,289,19.266666666666666
Jawala-Bajar,COTTON,2016,4656,4944,288,6.185567010309279
Hinganghat,COTTON,2016,4729,5015,286,6.047790230492705
Sangrampur-Varvatbakal,WHEAT(HUSKED),2016,1567,1853,286,18.251435864709638
Yeotmal,PIGEON PEA (TUR),2016,5280,5563,283,5.359848484848484
Vaijapur,WHEAT(HUSKED),2016,1785,2065,280,15.686274509803921
Pachora,BAJRI,2016,1074,1351,277,25.79143389199255
Pusad,SORGUM(JAWAR),2016,1350,1626,276,20.444444444444443
Beed,BAJRI,2016,1359,1635,276,20.309050772626932
Amalner,BAJRI,2016,1160,1435,275,23.70689655172414
Kopargaon,BAJRI,2016,1138,1412,274,24.077328646748683
Sakri,MAIZE,2016,871,1143,272,31.228473019517796
Tiwasa,COTTON,2016,4700,4971,271,5.76595744680851
Buldhana,SORGUM(JAWAR),2016,1200,1471,271,22.583333333333332
Bhandara,RICE(PADDY-HUS),2016,2790,3060,270,9.67741935483871
Umarga,BAJRI,2016,1087,1357,270,24.83900643974241
Sakri,WHEAT(HUSKED),2016,1467,1737,270,18.404907975460123
Raver,WHEAT(HUSKED),2016,1832,2102,270,14.737991266375547
Kopargaon,SORGUM(JAWAR),2016,1798,2067,269,14.961067853170189
Mangalwedha,WHEAT(UNHUSKED),2016,2890,3159,269,9.30795847750865
Kannad,BAJRI,2016,1333,1602,269,20.180045011252812
Nagpur,WHEAT(HUSKED),2016,2016,2285,269,13.343253968253968
Pune,SORGUM(JAWAR),2016,2804,3072,268,9.557774607703282
Yawal,SORGUM(JAWAR),2016,1080,1347,267,24.72222222222222
Ahmednagar,WHEAT(HUSKED),2016,1849,2116,267,14.440237966468361
Shrigonda,SUNFLOWER,2016,2933,3200,267,9.103307193999319
Nilanga,SORGUM(JAWAR),2016,1048,1314,266,25.38167938931298
Rahuri-Vambori,WHEAT(HUSKED),2016,1803,2068,265,14.697726012201885
Jalna,MAIZE,2016,1034,1298,264,25.53191489361702
Yeola,SORGUM(JAWAR),2016,1655,1917,262,15.830815709969789
Solapur,PIGEON PEA (TUR),2016,5437,5699,262,4.818833915762369
Partur,SORGUM(JAWAR),2016,1875,2137,262,13.973333333333333
Ambejogai,BAJRI,2016,1390,1651,261,18.776978417266186
Umarga,SUNFLOWER,2016,2620,2880,260,9.923664122137405
Lasur Station,MAIZE,2016,936,1194,258,27.564102564102566
Gevrai,COTTON,2016,4638,4895,257,5.541181543768866
Shahada,SORGUM(JAWAR),2016,1341,1596,255,19.01565995525727
Rajura,COTTON,2016,4594,4849,255,5.550718328254245
Wardha,COTTON,2016,4687,4941,254,5.41924471943674
Chandur Bajar,SORGUM(JAWAR),2016,1254,1508,254,20.25518341307815
Mul,PADDY-UNHUSKED,2016,1851,2104,253,13.668287412209617
Deulgaon Raja,COTTON,2016,4681,4933,252,5.3834650715659045
Pombhurni,PADDY-UNHUSKED,2016,1908,2160,252,13.20754716981132
Kada,PIGEON PEA (TUR),2016,4700,4950,250,5.319148936170213
Taloda,MAIZE,2016,1120,1370,250,22.321428571428573
Mahagaon,WHEAT(HUSKED),2016,1550,1800,250,16.129032258064516
Bhokar,PIGEON PEA (TUR),2016,5808,6058,250,4.304407713498622
Ambad(Vadi Godri),MAIZE,2016,969,1219,250,25.799793601651185
Partur,WHEAT(HUSKED),2016,1871,2120,249,13.308391234633886
Khamgaon,SORGUM(JAWAR),2016,1186,1431,245,20.657672849915684
Katol,PIGEON PEA (TUR),2016,4643,4887,244,5.255222916217963
Yawal,MAIZE,2016,960,1201,241,25.104166666666668
Lasalgaon,MAIZE,2016,1027,1267,240,23.369036027263874
Akot,WHEAT(HUSKED),2016,1680,1920,240,14.285714285714286
Bhandara,WHEAT(HUSKED),2016,1766,2005,239,13.533408833522083
