APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Kolhapur-Laxmipuri,Lentil,2016,6883,14104,7221,104.91064942612233
Tasgaon,Bedana,2016,6335,13548,7213,113.85951065509076
Nilanga,Pigeon Pea (Tur),2015,8262,15466,7204,87.19438392641007
Kolhapur,Apple,2016,7024,14226,7202,102.53416856492028
Pimpalgaon Basawant,Pomegranate,2015,250,7434,7184,2873.6
Kolhapur,Pomegranate,2015,2031,9213,7182,353.6189069423929
Tasgaon,Bedana,2015,8695,15868,7173,82.49568717653824
Phaltan,Pomegranate,2016,1479,8650,7171,484.85463150777554
Kolhapur,Apple,2016,5740,12904,7164,124.80836236933798
Sangli-Phale Bhajipalam,Mosambi,2015,3179,10333,7154,225.03932054105064
Kamthi,Garlic,2014,2889,10000,7111,246.1405330564209
Solapur,Pomegranate,2016,504,7608,7104,1409.5238095238096
Kamthi,Garlic,2016,4633,11722,7089,153.01100798618606
Chandrapur,Apple,2016,3190,10262,7072,221.69278996865205
Pimpalgaon Basawant,Pomegranate,2015,353,7414,7061,2000.2832861189802
Mumbai,Chillies(Red),2016,12000,19059,7059,58.825
Pune,Lemon,2016,875,7933,7058,806.6285714285714
Mumbai,Betelnuts,2014,29684,36737,7053,23.760274895566635
Mumbai,Turmeric,2015,10550,17600,7050,66.82464454976304
Kamthi,Custard Apple,2014,2835,9882,7047,248.57142857142858
Solapur,Chillies(Red),2016,5417,12461,7044,130.03507476462988
Sangamner,Pomegranate,2015,3522,10565,7043,199.97160704145372
Kolhapur,Pomegranate,2016,2154,9192,7038,326.7409470752089
Mumbai,Coriander (Dry),2014,13150,20167,7017,53.361216730038024
Solapur,Pomegranate,2015,772,7784,7012,908.2901554404145
Mumbai,Chillies(Red),2015,8000,15000,7000,87.5
Daryapur,Bullack,2015,25000,32000,7000,28.0
Pune,Chillies(Red),2015,8000,15000,7000,87.5
Mumbai,Tamarind,2016,8000,15000,7000,87.5
Mumbai,Tamarind,2016,8000,15000,7000,87.5
Mumbai,Chillies(Red),2016,12000,19000,7000,58.333333333333336
Aurangabad,Ground Nut Pods (Dry),2015,2375,9358,6983,294.0210526315789
Junnar (Alephata),POMEGRANATE,2016,3300,10270,6970,211.21212121212122
Atpadi,Pomegranate,2016,1520,8456,6936,456.3157894736842
Sangamner,Pomegranate,2015,2261,9196,6935,306.7226890756302
Ahmednagar,Tamarind,2016,6842,13767,6925,101.21309558608594
Chandrapur,APPLE,2016,2853,9765,6912,242.27129337539432
Mumbai,Coriander (Dry),2015,11800,18700,6900,58.47457627118644
Kolhapur,Pomegranate,2015,1800,8700,6900,383.3333333333333
Tasgaon,Bedana,2016,6303,13200,6897,109.42408376963351
Sangli-Phale Bhajipalam,Mango,2016,4881,11775,6894,141.24154886293792
Nampur,POMEGRANATE,2016,247,7128,6881,2785.8299595141702
Mumbai,Chillies(Red),2015,7875,14750,6875,87.3015873015873
Mumbai,Coriander (Dry),2015,7917,14792,6875,86.83844890741443
Kolhapur,Lemon,2015,1650,8500,6850,415.1515151515151
Sangali,Bedana,2016,9000,15850,6850,76.11111111111111
Pune-Manjri,Green-Peas,2015,813,7663,6850,842.5584255842558
Nashik,Apple,2016,9182,16018,6836,74.45001089087344
Nashik,Apple,2016,7575,14400,6825,90.0990099009901
Kolhapur,Garlic,2016,6190,13000,6810,110.01615508885298
Mumbai,Fennel,2015,8260,15067,6807,82.409200968523
Indapur,Pomegranate,2015,1292,8092,6800,526.3157894736842
Amarawati,Apple,2016,6000,12800,6800,113.33333333333333
Nashik,Apple,2016,11200,18000,6800,60.714285714285715
Pune-Pimpri,Coriander (Dry),2015,10800,17600,6800,62.96296296296296
Pune-Manjri,Green Chilli,2016,0,6800,6800,inf
Dhule,Chillies(Red),2015,4300,11091,6791,157.93023255813952
Pune,Garlic,2016,6043,12826,6783,112.24557339069999
Mumbai,Coriander (Dry),2014,13304,20087,6783,50.984666265784725
Mumbai,Cummin,2015,15000,21773,6773,45.153333333333336
Kolhapur,Apple,2015,2969,9734,6765,227.85449646345572
Nagpur,Apple,2015,3640,10396,6756,185.6043956043956
